순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
811,개똥이,2013.9.5,"4,914,000",0.0%,679,8,125,한국,한국,(주)씨타마운틴픽쳐스
812,전쟁과 평화,1977.9.27,"1,356,500",0.0%,678,1,14,미국,미국,
813,제 5원소 리마스터링 감독판,2013.11.20,"2,060,000",0.0%,677,4,27,프랑스,프랑스,(주)팝엔터테인먼트
814,성춘향,1961.1.28,"1,363,000",0.0%,676,1,23,한국,한국,
815,뷰티풀 차일드,2013.11.28,"4,478,000",0.0%,674,6,102,한국,한국,(주)씨타마운틴픽쳐스
815,대부,1973.9.1,"2,272,500",0.0%,674,1,22,미국,미국,
815,운명의 산 낭가 파르밧,2013.12.12,"4,389,000",0.0%,674,6,44,독일,독일,(주)씨타마운틴픽쳐스
818,레볼루션 아일랜드,2013.5.29,"3,340,000",0.0%,668,3,7,러시아,러시아,(주)수키픽쳐스
818,버크 앤 헤어,2013.5.22,"3,340,000",0.0%,668,5,9,영국,영국,(주)수키픽쳐스
820,세븐데이즈,2013.1.31,"4,662,000",0.0%,666,5,13,캐나다,캐나다,(주)미디어데이
821,카라스: 프로퍼시,2013.8.29,"5,102,000",0.0%,663,5,25,일본,일본,에이원엔터테인먼트
822,언터처블: 1%의 우정,2012.3.22,"3,733,000",0.0%,660,2,9,프랑스,프랑스,(주)넥스트엔터테인먼트월드(NEW)
822,동방삼협,1993.4.24,"1,700,000",0.0%,660,5,16,홍콩,홍콩,
822,오텔로,2013.12.21,"16,911,000",0.0%,660,7,26,독일,독일,(주)케빈앤컴퍼니
825,허풍,2013.8.14,"3,031,000",0.0%,656,3,22,한국,한국,골든타이드픽처스(주)
826,흑협 2,2013.11.20,"1,610,000",0.0%,650,5,15,홍콩,홍콩,태창엔터테인먼트(주)
827,전쟁과 한 여자,2013.8.15,"5,586,000",0.0%,638,2,45,일본,일본,(주)엣나인필름
828,소울 오브 브레드,2013.12.26,"4,482,000",0.0%,636,4,26,대만,대만,(유)영화사 화수분
829,황야의 결투,2010.11.30,"1,356,000",0.0%,635,1,14,미국,미국,
829,알렉산더대왕,,"1,270,000",0.0%,635,1,12,미국,미국,
831,미녀전쟁,2013.12.19,"2,905,000",0.0%,631,4,16,한국,한국,골든타이드픽처스(주)
832,투 더 원더,2014.3.6,"5,087,000",0.0%,628,1,4,미국,미국,(주)미디어데이
833,역마차,,"1,247,000",0.0%,622,1,16,미국,미국,
834,콤플렉스,2013.7.25,"4,804,000",0.0%,608,4,47,일본,일본,미디어소프트
835,미워도 다시 한번 '80,1980.6.21,"1,212,000",0.0%,606,1,15,한국,한국,
835,베드,2013.1.17,"4,186,000",0.0%,606,9,164,한국,한국,(주)씨타마운틴픽쳐스
837,모니카와의 여름,2013.7.4,"4,790,000",0.0%,605,1,39,스웨덴,스웨덴,㈜영화사 백두대간
838,차와 동정,,"1,208,000",0.0%,604,1,9,미국,미국,
839,굿닥터,2012.12.6,"1,275,000",0.0%,600,1,3,미국,미국,(주)마인스 엔터테인먼트
840,우리들의 헤어진 여자친구,2013.8.29,"2,889,000",0.0%,599,4,30,한국,한국,골든타이드픽처스(주)
841,갯마을,1978.8.6,"1,018,000",0.0%,593,1,9,한국,한국,
842,스파르타쿠스,,"1,160,000",0.0%,580,1,16,미국,미국,
842,이프!,2013.5.2,"3,368,000",0.0%,580,8,117,네덜란드,"네덜란드,벨기에",영화사 보라
844,누구나 제 명에 죽고 싶다,2013.3.14,"4,430,500",0.0%,577,7,123,한국,한국,씨제이 씨지브이(CJ CGV)(주)
845,레퀴엠,2013.10.19,"13,556,500",0.0%,576,6,74,독일,독일,(주)케빈앤컴퍼니
846,쿼바디스,1973.1.13,"1,149,000",0.0%,574,1,12,미국,미국,
847,파르지팔,2013.5.16,"15,059,000",0.0%,571,2,61,독일,독일,(주)케빈앤컴퍼니
848,사하라,,"1,140,000",0.0%,570,1,17,미국,미국,
848,플라잉 머신 3D,2014.1.9,"6,270,000",0.0%,570,1,1,영국,"영국,폴란드",C 무비
850,하늘에서 음식이 내린다면,2010.2.11,"4,042,000",0.0%,568,2,21,미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
850,두 여인,,"1,142,000",0.0%,568,1,10,이탈리아,"이탈리아,프랑스",
852,지상 최대의 작전,,"1,128,000",0.0%,564,1,12,,,
853,대해적,,"954,000",0.0%,548,1,9,미국,미국,
854,경복,2013.7.11,"4,157,200",0.0%,547,1,58,한국,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
855,비는 행운을 싣고,,"939,000",0.0%,545,1,9,미국,미국,
856,라쇼몽,,"2,176,000",0.0%,544,1,5,,,
